"id","date","file","purpose","must_contain","negative_case","validation_rule","status","sources"
"LFP-001","2026-05-13","traces.json","Trace root fixture","One trace with id name timestamp userId sessionId environment tags and metadata.","Direct userId or sessionId copied into redacted expected rows.","Redacted expected rows contain tenant-salted hashes and no direct source identity.","open","langfuse-fixture-pack-blueprint-2026-05-13.md; langfuse-query-sdk-current-2026-05-13"
"LFP-002","2026-05-13","observations-v2-page-1.json","Primary observation page","One GENERATION and one SPAN with core basic time IO metadata model usage prompt and metrics fields.","Default field-group response without IO usage prompt or metrics accepted as complete.","Harness requires requested field groups and verifies all required groups appear.","open","langfuse-observations-api-current-2026-05-13"
"LFP-003","2026-05-13","observations-v2-page-2.json","Pagination completion and parse failure","Second page with final cursor null and malformed generation output JSON.","Importer stops at page 1 or embeds malformed output in loss report.","Harness proves cursor exhaustion and no-sample parse-failure loss row.","open","langfuse-observations-api-current-2026-05-13"
"LFP-004","2026-05-13","scores.json","Score type coverage","Numeric boolean categorical mapped categorical unmapped and text score rows.","External score copied into k_score or eval_score.","Harness fails if K-score fields appear and checks every score emits kolm-score-1 evidence.","open","langfuse-scores-overview-current-2026-05-13; external-score-normalization-audit-2026-05-13.md"
"LFP-005","2026-05-13","score-map.json","Score-map fail-closed fixture","Numeric scale direction threshold boolean evidence map and one categorical map.","Unmapped categorical label silently accepted for eval selection.","Harness requires loss code score.categorical_map_missing.","open","external-score-normalization-matrix-2026-05-13.csv"
"LFP-006","2026-05-13","datasets.json","Dataset metadata and schema fixture","Dataset name metadata version inputSchema and expectedOutputSchema.","Schema-invalid item accepted without loss.","Harness validates item shape or records schema loss without raw samples.","open","langfuse-datasets-current-2026-05-13"
"LFP-007","2026-05-13","dataset-items.json","Evalcase selection fixture","Active item with expected output archived item and missing expected-output item with source trace links.","Archived or missing-expected item becomes artifact eval case.","Harness emits exactly one evalcase and loss rows for skipped items.","open","langfuse-datasets-current-2026-05-13"
"LFP-008","2026-05-13","dataset-run-items.json","Dataset-run attachment placeholder","Dataset-run score target fields or explicit empty array with reason.","Dataset-run score attachments ignored without manifest note.","Harness preserves dataset_run_id when present or documents fixture omission.","open","langfuse-scores-overview-current-2026-05-13; langfuse-datasets-current-2026-05-13"
"LFP-009","2026-05-13","retention.json","Lifecycle fixture","Source region source retention Kolm retention purge_after and source deletion refs.","Manifest lacks retention_days or purge_after.","Harness requires manifest privacy retention and deletion reference fields.","open","langfuse-retention-current-2026-05-13; langfuse-deletion-current-2026-05-13"
"LFP-010","2026-05-13","expected.normalized.redacted.jsonl","Redacted normalized output","Trace observation and score rows with structured messages hashes metrics costs and score attachments.","Raw malformed output or direct identity appears.","Harness scans for blocked raw values direct identity and source samples.","open","trace-import-privacy-policy-2026-05-13.md; langfuse-fixture-pack-blueprint-2026-05-13.md"
"LFP-011","2026-05-13","expected.evalcases.redacted.jsonl","Artifact evalcase output","Exactly one evalcase with input expected output and allowlisted metadata.","sourceTraceId sourceObservationId score id user id or session id embedded.","Harness applies artifact eval allowlist and source-id denylist.","open","trace-eval-schema-spec-2026-05-13.md"
"LFP-012","2026-05-13","expected.manifest.redacted.json","Manifest output","Spec manifest id source fixture dataset version privacy counts purge_state and artifact list.","Counts diverge from source rows and expected outputs.","Harness recomputes counts and checks no missing source pages.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"LFP-013","2026-05-13","expected.loss-report.redacted.json","Loss report output","Parse failure non-generation skip score-map miss archived skip and missing expected-output losses.","Loss row includes raw malformed output sample.","Harness requires sample_included false outside raw mode.","open","trace-import-privacy-policy-2026-05-13.md; trace-import-manifest-purge-matrix-2026-05-13.csv"
"LFP-014","2026-05-13","expected.normalized.hash-only.jsonl","Hash-only normalized output","Checksums counts source refs and no IO payload text.","Hash-only mode retains message content.","Harness deny-lists message content and requires source row checksums.","open","trace-import-privacy-matrix-2026-05-13.csv"
"LFP-015","2026-05-13","expected.loss-report.hash-only.json","Hash-only loss report","Same loss classes as redacted with no source samples.","Hash-only report drops loss paths needed for audit.","Harness compares loss codes and counts against redacted mode.","open","trace-import-privacy-policy-2026-05-13.md"
"LFP-016","2026-05-13","expected.purge-dry-run.redacted.json","Future purge dry-run fixture","Rows scores raw sidecars loss reports cache keys writebacks artifacts and blocked targets.","Delete or anonymize tested before dry-run contract.","Add after manifest fixture passes and require zero destructive side effects.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"LFP-017","2026-05-13","fixture checksums","Canonical checksum list","Source checksum and per-row checksums for every fixture input row.","Symbolic checksums shipped in executable fixtures.","Harness computes real canonical JSON checksums before accepting pack.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"LFP-018","2026-05-13","validation harness","Fixture acceptance tests","CSV shape JSON parse JSONL parse denylist counts mode comparison and no-K-score checks.","Only golden-file snapshot tested without semantic assertions.","Harness must test semantics listed in blueprint acceptance requirements.","open","langfuse-fixture-pack-blueprint-2026-05-13.md"
"LFP-019","2026-05-13","source-register refs","Source traceability","Official Langfuse observation dataset score retention deletion docs and local CLI/router/capture refs.","Fixture fields cannot be traced to a source or local gap.","Every file row references at least one source-register ref.","open","source-register-2026-05-12.md"
"LFP-020","2026-05-13","live connector gate","API support blocker","Fixture pack validates pagination field groups privacy manifest loss and score-map behavior first.","Live Langfuse API fetch merges before fixture parity passes.","Backlog and CI should block live connector until all fixture files validate.","open","langfuse-importer-fixture-matrix-2026-05-13.csv"
