"id","date","surface","evidence","data_scope","risk","recommended_action","source"
"TDM-001","2026-05-12","Store facade","The JSON and SQLite drivers store table rows as app-level JSON records; SQLite uses a generic `kolm_store_rows(table_name,json)` table, not per-tenant relational schema or foreign-key constraints.","app_enforced","Tenant isolation depends on every caller filtering rows correctly; the database cannot enforce tenant boundaries or cascaded deletion.","Add route-level regression tests now; plan a tenant-aware schema or row-level helper layer before multi-tenant scale.","src/store.js"
"TDM-002","2026-05-12","Registry read boundary","`registry.canRead` returns true for public concepts and private concepts only when `concept.tenant === tenant`. Runtime calls go through `getVersion` or `getHead`.","tenant_scoped_with_public_exception","Core private registry reads look structurally sound in code review.","Keep this boundary and add cross-tenant tests for private read/run denial and public read/run allow.","src/registry.js; src/runtime.js"
"TDM-003","2026-05-12","Registry delete boundary","`deleteConcept` removes concepts and versions only when `c.tenant === tenant`; non-owner deletion throws `forbidden`.","tenant_scoped","Concept deletion is correctly owner-scoped, but account deletion does not call it.","Keep owner guard and decide whether account deletion should cascade through this path.","src/registry.js"
"TDM-004","2026-05-12","Runtime invocation logging","`runVersion` authorizes through registry and logs invocations with the caller tenant. Public runs use tenant `__public__`.","tenant_scoped_logs","Private execution is scoped, but public recipe usage and cache behavior need explicit data-retention policy.","Document public-run telemetry separately and avoid mixing it into private tenant stats.","src/runtime.js; src/router.js:451"
"TDM-005","2026-05-12","Compile jobs and artifact downloads","Compile jobs are created with `tenant: req.tenant`; list/status/download calls use `getJob(id, req.is_admin ? null : req.tenant)`.","tenant_scoped_admin_global","Tenant artifact access is scoped, while admin can read globally by design.","Add admin audit logging for global job/artifact reads.","src/compile.js; src/router.js:837"
"TDM-006","2026-05-12","Artifact status response","`GET /v1/compile/:id` strips `artifact_path` and `deploy_hook`, returning `deploy_hook_set` instead.","tenant_scoped_sanitized","Local path and webhook URL leakage are mitigated in the status response.","Keep tests that assert these sensitive fields are stripped.","src/router.js:893"
"TDM-007","2026-05-12","Account cancellation","`POST /v1/account/cancel` downgrades to free and explicitly says existing artifacts and registry data are untouched.","tenant_retained","This behavior is clear for cancellation and should remain distinct from deletion.","Keep cancel copy explicit and separate from delete semantics.","src/router.js:1334"
"TDM-008","2026-05-12","Account deletion","`POST /v1/account/delete` only soft-deletes the tenant row and clears the session cookie; it does not remove concepts, versions, observations, invocations, compile jobs, artifact files, cache files, submissions, or waitlist rows.","soft_delete_only","P1 privacy/product risk: an endpoint named delete does not delete tenant data. Local smoke proved concepts remain in storage after delete.","Rename to deactivate or implement a retention-aware deletion workflow that purges/anonymizes tenant data and artifacts.","src/router.js:1370; local smoke"
"TDM-009","2026-05-12","Public data after account deletion","Local smoke deleted a tenant, confirmed the old key no longer authenticated, found both public and private concepts still stored, and confirmed the public concept remained readable with HTTP 200.","public_survives_delete","Deleted users may expect public recipes to be removed or anonymized; current behavior keeps them available.","Define public artifact survivorship policy: remove, transfer to org, anonymize, or require explicit archive consent.","local smoke; src/router.js:1370"
"TDM-010","2026-05-12","Recall namespace construction","`nsFor` sanitizes tenant and namespace into `kolm-{tenant}-{namespace}`, preventing namespace metacharacter escape before qmd calls.","tenant_prefixed","Recall query/status namespace isolation is reasonably designed.","Keep sanitization and add tests for slashes, `..`, spaces, and long namespaces.","src/recall.js"
"TDM-011","2026-05-12","Recall ingest path guard","`POST /v1/embed` requires absolute paths and, for non-admin tenants, checks `resolved === tenantRoot` or `resolved.startsWith(tenantRoot + path.sep)`.","tenant_path_scoped","Ingest path restriction is stronger than the source-preview path and should be factored into a shared helper.","Extract a single `pathInside(root,target)` helper and test both ingest and source preview.","src/router.js:1006"
"TDM-012","2026-05-12","Recall source preview path guard","`GET /v1/recall/sources/:id(*)` resolves a user id against the tenant root but checks only `full.startsWith(lookupRoot)`. A local path smoke showed `tenant2` passes for base `tenant`.","tenant_escape_bug","P1 tenant data disclosure: sibling directories with shared prefixes can pass the guard and expose sidecar previews.","Replace raw prefix check with `full === lookupRoot || full.startsWith(lookupRoot + path.sep)` or `path.relative` validation; add traversal tests.","src/router.js:1052; local smoke"
"TDM-013","2026-05-12","Cache storage root","`src/cache.js` writes L2 cache files to `path.resolve('data','cache')` outside `KOLM_DATA_DIR` except on serverless.","global_cache_root","Cache outputs can persist outside the configured data directory, bypassing readiness/data-retention expectations and cleanup workflows.","Honor `KOLM_DATA_DIR` for cache root, document cache retention, and include cache cleanup in account deletion.","src/cache.js; src/env.js"
"TDM-014","2026-05-12","Cache key","Cache keys are `version_id:sha1(input)` and do not include tenant.","version_input_scoped","Private versions are protected by registry auth, but public versions share cached outputs across tenants and future tenant params could leak across callers.","Include tenant or public/private mode in cache policy, and disable shared cache for tenant-param or sensitive runs.","src/cache.js; src/runtime.js"
"TDM-015","2026-05-12","Bridge observations list/update","Bridge observation list, suggestions, update, and auto-synthesize routes filter `all('observations')` by `o.tenant === req.tenant`.","tenant_scoped","Core observation inbox operations are tenant-scoped.","Add cross-tenant observation tests and retention controls.","src/router.js:2091"
"TDM-016","2026-05-12","Capture proxy persistence","Capture proxy routes strip upstream provider keys before forwarding, but persist prompts up to 8000 chars and responses up to 16000 chars in `observations`.","tenant_scoped_sensitive_payload","Captured prompt/response data can be sensitive; there is no retention, redaction, or opt-out policy visible in code.","Add namespace retention, redaction, export, and delete controls before selling capture as a governed feature.","src/router.js:2295"
"TDM-017","2026-05-12","Labels export","`/v1/labels/synthesize-corpus` filters observations by tenant and namespace before exporting JSONL/JSON pairs.","tenant_scoped","Corpus export appears properly tenant-scoped.","Add cross-tenant namespace tests and signed export metadata if used for compliance evidence.","src/router.js:2372"
"TDM-018","2026-05-12","Recipe lineage","`/v1/recipes/:id/lineage` authorizes the recipe through `registry.getConcept`, then counts observations, specialists, invocations, and corpus jobs by recipe/concept id without tenant filters.","concept_scoped_not_tenant_filtered","P1/P2 aggregate leak: public or shared concepts can reveal cross-tenant usage counts and model names.","Filter lineage aggregates by tenant unless the caller is admin or the owner and the data is intentionally public aggregate telemetry.","src/router.js:2238"
"TDM-019","2026-05-12","Specialist candidates","`/v1/bridges/specialist-candidates` filters concepts to owner/admin, then counts all invocations for each concept id without tenant filtering.","concept_scoped_not_tenant_filtered","Usage counts for tenant-owned public concepts can include other tenants' invocations, which may be desired analytics but is not labeled as cross-tenant aggregate.","Either label as global public usage or filter by tenant for private dashboard semantics.","src/router.js:2224"
"TDM-020","2026-05-12","Public submit","`/v1/public/submit` is authenticated and checks `c.tenant === req.tenant || req.is_admin` before inserting a submission.","owner_scoped","Public submission ownership guard is correct in this pass.","Add tests that non-owners cannot submit public or private recipes.","src/router.js:2016"
"TDM-021","2026-05-12","Test coverage","Search across tests found API key hashing, e2e auth, and admin fallback coverage, but no dedicated cross-tenant private/public matrix, account delete data-retention test, recall traversal test, or cache-root test.","test_gap","Tenant-isolation regressions can slip because the store layer itself does not enforce tenant scoping.","Add a `tenant-isolation.test.js` covering private reads/runs, public reads/runs, delete retention, recall paths, lineage aggregates, and cache root.","tests/*.test.js"
