"id","date","area","surface","current_truth","manifest_or_purge_requirement","risk","recommended_action","status","sources"
"IMP-001","2026-05-13","Manifest","Manifest existence","No import manifest exists today.","Every importer run writes a `kolm-import-manifest-1` file or row.","Imported data cannot be audited or purged as a batch.","Make manifest output mandatory for fixture import.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-002","2026-05-13","Manifest","Tenant namespace","Current observations have tenant fields and namespace drift.","Manifest records tenant_id and canonical namespace.","Purge by namespace will miss rows or delete the wrong rows.","Normalize namespace before writing manifest rows.","open","trace-import-privacy-matrix-2026-05-13.csv"
"IMP-003","2026-05-13","Manifest","Source checksum","No importer source checksum exists.","Manifest records source export checksum and per-row checksums.","Cannot prove what file/API page produced imported rows.","Compute source_checksum and row_checksum with canonical JSON.","open","trace-eval-schema-spec-2026-05-13.md"
"IMP-004","2026-05-13","Manifest","Privacy fields","Privacy mode is only a research policy today.","Manifest records mode, retention_days, purge_after, redactor, allow_raw, and identity salt ref.","Rows can outlive privacy promises or lose redaction provenance.","Make privacy block required in schema.","open","trace-import-privacy-policy-2026-05-13.md"
"IMP-005","2026-05-13","Manifest","Counts","No import counts exist.","Manifest records source, normalized, blocked, sidecar, score, eval, artifact, and write-back counts.","Operators cannot spot loss or partial import.","Add count reconciliation tests.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-006","2026-05-13","Rows","Row references","Future normalized rows need import_run linkage.","Each row records manifest_id, row_id, source_row_id, and row_checksum.","Purge cannot find all rows for one import.","Add manifest_id to normalized rows and scores.","open","trace-eval-schema-mapping-2026-05-13.csv"
"IMP-007","2026-05-13","Rows","Eval cases","Eval cases are embedded without source manifest linkage today.","Manifest row entries list derived eval_case_ids.","Cannot remove derived local eval cases or prove allowed embedding.","Track eval_case_ids outside artifacts.","open","trace-eval-schema-spec-2026-05-13.md"
"IMP-008","2026-05-13","Rows","Labels","Label export is generated from observations without export IDs.","Manifest tracks label_export_ids created from imported rows.","Generated label files can survive purge.","Assign IDs to label exports and list them in manifest.","open","src-router-trace-schema-current"
"IMP-009","2026-05-13","Rows","Raw sidecars","No sidecar storage exists.","Manifest row entry records raw_payload_ref and raw sidecar checksum when raw mode is used.","Raw payloads can become orphan files.","Add sidecar registry and purge tests.","open","trace-import-privacy-policy-2026-05-13.md"
"IMP-010","2026-05-13","Rows","Scores","External scores do not exist locally yet.","Manifest tracks score IDs derived from each row.","Purge can leave score evidence after trace deletion.","Add import_scores table/fixture and manifest linkage.","open","external-score-normalization-audit-2026-05-13.md"
"IMP-011","2026-05-13","Rows","Write-back","No write-back rows exist.","Manifest tracks writeback_ids and source target refs.","Pending write-back jobs can outlive source deletion.","Add write-back queue rows with manifest_id.","open","competitor-trace-import-wedge-audit-2026-05-13.md"
"IMP-012","2026-05-13","Store","JSON remove","Store facade supports row removal in JSON mode.","Purge delete mode can remove rows by manifest_id.","Delete is feasible for row tables but needs audit.","Use `remove` for import_rows/import_scores and record counts.","solid","src-store-purge-current"
"IMP-013","2026-05-13","Store","SQLite remove","Store facade supports SQLite row removal in transactions.","Purge must have JSON and SQLite parity.","Purge works in dev but fails in production-like store.","Add SQLite purge tests.","solid","src-store-purge-current"
"IMP-014","2026-05-13","Store","Anonymize","Store update supports patching rows.","Anonymize mode patches sensitive fields while preserving aggregate shell.","Delete-only may be too destructive for audit; no anonymize contract exists.","Define anonymize patch allowlist.","open","src-store-purge-current; trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-015","2026-05-13","Cache","Cache delete by key","Cache exposes invalidate by version only, not delete by manifest row key.","Manifest should list cache_keys and cache needs delete-by-key.","Imported outputs can remain in disk cache after purge.","Add cache delete-by-key and data-root alignment.","open","src-cache-purge-current; tenant-data-lifecycle-audit-2026-05-12.md"
"IMP-016","2026-05-13","Cache","Cache location","Cache writes to data/cache outside configured data lifecycle except serverless fallback.","Import purge cannot guarantee configured storage boundary.","Sensitive data may remain outside KOLM_DATA_DIR.","Move/import cache under configured data root or list explicit cache paths.","open","src-cache-purge-current"
"IMP-017","2026-05-13","Audit","Audit source","Current audit endpoint reconstructs from source tables.","Purge needs durable audit event because source rows may be removed.","Deletion evidence disappears when rows are deleted.","Add durable purge audit event or signed manifest update.","open","src-router-audit-purge-current"
"IMP-018","2026-05-13","Audit","Dry run","No purge dry-run exists.","Dry-run returns targets, blocked targets, and non-purgeable outputs without mutation.","Operators cannot approve destructive purge safely.","Implement dry-run before delete/anonymize.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-019","2026-05-13","Purge","Delete mode","No importer rows exist to delete.","Delete mode removes rows, scores, sidecars, labels, cache keys, pending writebacks, and loss reports.","Partial deletion creates false compliance evidence.","Use manifest target list and report exact deleted counts.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-020","2026-05-13","Purge","Anonymize mode","No anonymize mode exists.","Anonymize keeps counts/checksums but removes IO, IDs, comments, and raw refs.","Teams may need audit totals without retaining content.","Add anonymize fixture and diff assertion.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-021","2026-05-13","Purge","Confirmation","No destructive importer command exists.","Delete/anonymize requires manifest_id confirmation.","Accidental purge can destroy customer data.","Use explicit confirm token matching manifest_id.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-022","2026-05-13","Purge","Retention scan","No retention job exists for imported rows.","Retention scanner selects rows/manifests by purge_after.","Retention policy becomes documentation only.","Add retention scan dry-run and apply mode.","open","trace-import-privacy-policy-2026-05-13.md"
"IMP-023","2026-05-13","Purge","Distributed artifacts","Artifacts may have been downloaded or published.","Purge marks artifact refs non-purgeable and never rewrites shipped artifacts.","Users may expect artifact deletion that Kolm cannot enforce.","Keep source data out of artifacts and report artifact boundary.","open","trace-import-privacy-matrix-2026-05-13.csv"
"IMP-024","2026-05-13","Purge","Compile jobs","Compile jobs can reference artifacts and eval sets.","Manifest should list jobs/artifacts generated from imported rows when applicable.","Jobs may retain source-derived metadata.","Add compile job import_source refs before importer-to-compile path.","open","src-router-audit-purge-current; src-compile-score-current"
"IMP-025","2026-05-13","Purge","Loss reports","Loss reports are needed for import quality.","Manifest tracks loss_report_ref and purge deletes/anonymizes it.","Loss reports can leak field paths or samples.","Default loss reports to no raw samples and include in purge scope.","open","trace-import-privacy-policy-2026-05-13.md"
"IMP-026","2026-05-13","Purge","Source deletion refs","External systems expose deletion APIs with different timing.","Manifest records source deletion refs but local purge is independent.","Users may assume source deletion cascades to Kolm.","Add source_deleted_at/local_purged_at fields.","open","langfuse-deletion-2026-05-13; langsmith-purging-2026-05-13; braintrust-logs-delete-2026-05-13"
"IMP-027","2026-05-13","Purge","Idempotency","No purge idempotency contract exists.","Repeated purge returns already_purged status with same deleted/anonymized counts where possible.","Retries can fail or double-count audit evidence.","Design purge as idempotent by manifest status.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-028","2026-05-13","Purge","Partial failure","No partial purge report exists.","Purge records per-target success/failure and leaves manifest status partial_failed if needed.","A failed sidecar delete can be hidden by row deletion success.","Write per-target result report before mutating manifest status.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-029","2026-05-13","Testing","Fixture coverage","No import manifest or purge fixtures exist.","Add valid manifest, invalid manifest, dry-run, delete, anonymize, partial failure, cache, and artifact-boundary fixtures.","Manifest and purge claims will be unverifiable.","Make purge fixtures importer launch blockers.","open","tests; trace-import-manifest-purge-contract-2026-05-13.md"
"IMP-030","2026-05-13","Docs","Public wording","Public importer docs do not exist yet but claim pressure is high.","Docs should say preview until manifest, purge, retention, and privacy tests pass.","Importer copy can outrun lifecycle controls.","Gate importer copy on manifest/purge test suite.","open","claim-governance-audit-2026-05-12.md; trace-import-manifest-purge-contract-2026-05-13.md"
