"id","date","area","privacy_surface","current_or_source_truth","kolm_policy","risk","recommended_action","status","sources"
"TIP-001","2026-05-13","Local capture","Prompt and response persistence","Capture stores prompt text up to 8000 characters and response text up to 16000 characters in observations.","Importer should be stricter than current capture and require privacy mode before storing raw bodies.","Trace import can expand the current raw-data retention gap.","Add privacy mode fields before external importer implementation.","open","src-router-trace-schema-current; trace-import-privacy-policy-2026-05-13.md"
"TIP-002","2026-05-13","Local capture","Upstream API keys","Capture reads upstream provider keys from explicit headers and does not persist them in observation rows.","Keep this rule for importers and never write source API keys to manifests or loss reports.","Credential leakage would be catastrophic and unnecessary.","Add tests that manifests redact auth headers and env-derived tokens.","solid","src-capture-trace-schema-current; src-router-trace-schema-current"
"TIP-003","2026-05-13","Local capture","Namespace lifecycle","Capture has namespace drift between corpus_namespace and namespace plus no retention per namespace.","Use one tenant.namespace field and attach retention policy at namespace/import manifest level.","Imported rows could be impossible to purge by intended namespace.","Normalize namespace and add purge-by-namespace tests.","open","capture-distillation-governance-audit-2026-05-12.md"
"TIP-004","2026-05-13","Local capture","Triage binding","Discarded rows are hidden from inbox but still exported/counted by labels and distill paths.","Privacy policy should treat discarded as excluded from export, eval derivation, and distill by default.","A user discard action does not protect data from downstream use.","Make kept-only export default and record triage state in rows.","open","capture-distillation-governance-audit-2026-05-12.md"
"TIP-005","2026-05-13","Local account delete","Deletion semantics","Account delete soft-deletes tenant auth but does not purge observations, jobs, artifacts, cache, or registry rows.","Do not claim imported trace deletion until purge/anonymize command exists.","Delete expectations from source systems will not be met locally.","Build import purge before public importer claims.","open","tenant-data-lifecycle-audit-2026-05-12.md"
"TIP-006","2026-05-13","Local cache","Runtime cache lifecycle","Cache can live outside configured data lifecycle and may contain sensitive outputs.","Import purge scope should include cache entries keyed by imported rows.","Sensitive imported outputs can survive account deletion.","Move cache under configured data root and link cache keys to tenant/source rows.","open","tenant-data-lifecycle-audit-2026-05-12.md"
"TIP-007","2026-05-13","Artifact boundary","Portable eval contents","Artifacts should embed only input, expected, params, and generated case IDs.","Keep raw source metadata, user/session IDs, comments, raw refs, and source delete refs in manifests only.","Portable artifacts could spread regulated source data.","Add eval embedding allowlist and fixture tests.","open","trace-eval-schema-spec-2026-05-13.md"
"TIP-008","2026-05-13","Privacy mode","Hash-only import","Hash-only stores source IDs, hashes, metrics, model, timestamps, and safe metadata but no raw IO.","Make hash-only the safest non-raw mode and block eval derivation unless approved data exists.","Users may expect artifacts from data Kolm did not store.","Make hash-only loss report explicit.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-009","2026-05-13","Privacy mode","Redacted import","Redacted mode stores redacted IO plus original checksums and a redaction report.","Allow eval derivation only from redacted fields.","Redaction can be incomplete or silently drop necessary eval context.","Emit redaction detector paths, counts, and dropped-field report.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-010","2026-05-13","Privacy mode","Raw import","Raw mode stores source IO and metadata.","Require explicit allow-raw, retention_days, namespace, and manifest warning.","Raw import can create the largest compliance blast radius.","Make raw mode opt-in and fail without retention.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-011","2026-05-13","Privacy mode","Blocked import","Blocked mode refuses import when required privacy fields or unsupported payloads exist.","Default to blocked for unknown source exports, missing retention, or unsupported media/attachments.","Importer might store data it cannot govern.","Fail closed and report blocked reasons without sample values.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-012","2026-05-13","Identity","User/session IDs","Source systems can include user IDs, sessions, threads, or metadata that identify people.","Use tenant-salted hashes for user_hash and session_hash; keep source IDs out of artifacts.","Direct identifiers can leak into artifacts, logs, or dashboards.","Add salted identity hashing fixture.","open","trace-eval-schema-spec-2026-05-13.md"
"TIP-013","2026-05-13","Raw payloads","Payload sidecars","Schema supports raw_payload_ref and checksum but no implementation exists.","Store raw payloads out of normalized rows when raw mode is used.","Inline raw payloads make purge and artifact boundaries harder.","Add sidecar storage and checksum tests before raw import.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-014","2026-05-13","Manifests","Import manifest","No import manifest exists today.","Manifest must record privacy mode, retention, row IDs, checksums, loss report, source export ref, and purge scope.","Rows become impossible to audit or delete as a batch.","Make manifest mandatory output for every importer.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-015","2026-05-13","Retention","Retention days","External tools expose retention controls or deletion APIs; local import has none.","Require retention_days for raw and redacted imports; allow explicit indefinite only for local private mode.","Imported traces can outlive source retention expectations.","Add purge_after to every imported row.","open","langfuse-retention-2026-05-13; langsmith-purging-2026-05-13; phoenix-retention-2026-05-13"
"TIP-016","2026-05-13","Langfuse","Retention default","Langfuse stores event data indefinitely by default but supports project-level retention for traces, observations, scores, and media assets.","Import should preserve source retention metadata when known and not exceed local configured retention silently.","Kolm could retain imported rows longer than the source project.","Require explicit local retention regardless of source default.","open","langfuse-retention-2026-05-13"
"TIP-017","2026-05-13","Langfuse","Trace deletion","Langfuse trace deletion deletes related scores and observations across data stores and supports single, batch, query, project, org, and user account deletion.","Kolm purge should delete imported row, score, raw sidecar, and generated label export together.","Source deletion semantics may be stronger than local importer behavior.","Implement cascade purge for imported rows and score sidecars.","open","langfuse-deletion-2026-05-13"
"TIP-018","2026-05-13","LangSmith","Retention tiers","LangSmith retention is configurable at workspace/project levels, with base and extended trace retention.","Importer should store source retention tier when available and local retention independently.","Retention source changes may apply only to new traces.","Do not infer source retention for old exports; require local retention.","open","langsmith-purging-2026-05-13"
"TIP-019","2026-05-13","LangSmith","Trace deletion","LangSmith trace deletes can be by trace IDs or metadata and are not instant; related feedback, aggregations, and stats are deleted.","Kolm purge should produce verifiable local deletion status rather than assuming source deletion timing.","Users may think deleting in source deletes imported rows.","Add source_deleted_at and local_purged_at fields.","open","langsmith-purging-2026-05-13"
"TIP-020","2026-05-13","LangSmith","Example hard delete","LangSmith docs distinguish soft and hard deletion for examples.","Importer should not promise hard delete for distributed artifacts.","Hard-delete expectations conflict with portable artifact distribution.","Keep source identifiers out of artifacts and document purge limits.","open","langsmith-purging-2026-05-13"
"TIP-021","2026-05-13","Phoenix","Self-host privacy","Phoenix self-hosted keeps trace/eval/dataset data inside customer infrastructure and gives storage/access/retention control to the operator.","Kolm should treat Phoenix imports as customer-controlled but still require local privacy mode.","Self-hosted source privacy can be weakened by hosted Kolm import.","Prefer local/offline importer mode for Phoenix exports.","open","phoenix-privacy-2026-05-13"
"TIP-022","2026-05-13","Phoenix","Retention default","Phoenix default retention is indefinite and retention policies can be time or count based.","Kolm import should not copy indefinite retention by default.","Indefinite local retention is unsafe for production traces.","Require explicit retention_days or explicit indefinite-local flag.","open","phoenix-retention-2026-05-13"
"TIP-023","2026-05-13","Phoenix","Telemetry controls","Phoenix can disable telemetry and external resources in self-hosted/air-gapped deployments.","Kolm importer should support offline fixture mode without external API calls.","Air-gapped users cannot use importer if it phones home or fetches remote docs.","Make fixture importer fully offline.","open","phoenix-privacy-2026-05-13"
"TIP-024","2026-05-13","Braintrust","Production logs","Braintrust logs are production traces/spans used for analysis and feedback loops.","Kolm should treat Braintrust imports as production data unless source says synthetic.","Production traces may contain customer or regulated data.","Default Braintrust importer to redacted or hash-only in docs.","open","braintrust-logs-delete-2026-05-13"
"TIP-025","2026-05-13","Braintrust","Log deletion","Braintrust supports deleting traces via UI or marking logs for deletion through API events.","Kolm manifest should preserve source delete refs but never require source credentials for local purge.","Imported Braintrust rows can survive source deletion.","Add purge by source_row_id and source_system.","open","braintrust-logs-delete-2026-05-13"
"TIP-026","2026-05-13","Scores/comments","Feedback comments","Score comments and human review notes can contain sensitive text.","Treat comments as raw text subject to redaction or hash-only handling.","Comments can leak sensitive user content into manifests or artifacts.","Never embed comments in artifacts; redact or hash in rows.","open","external-score-normalization-audit-2026-05-13.md"
"TIP-027","2026-05-13","Loss reports","Sample values","Loss reports are needed but can leak sampled raw fields.","Loss reports should record field paths and counts, not raw sample values, unless raw mode allows it.","Debug reports can become shadow data stores.","Make no-samples the default loss-report mode.","open","trace-import-privacy-policy-2026-05-13.md"
"TIP-028","2026-05-13","Write-back","Source metadata","Write-back wants artifact ID, K-score, receipts, avoided-call proof, and fallback counts.","Write back Kolm metadata without copying local raw payloads back to source.","Write-back can reintroduce sensitive derived data into source systems.","Define write-back payload allowlist.","open","competitor-trace-import-wedge-audit-2026-05-13.md"
"TIP-029","2026-05-13","Tests","Privacy fixtures","No importer privacy fixtures exist.","Add blocked, hash-only, redacted, raw, missing retention, identity hashing, sidecar purge, and artifact-boundary tests.","Privacy promises will be unverifiable.","Make privacy fixtures launch-blocking for importers.","open","tests; trace-import-privacy-policy-2026-05-13.md"
"TIP-030","2026-05-13","Copy governance","Public importer claims","Public claims should not say governed trace import until privacy gates, purge, and retention jobs exist.","Use preview/internal labels until tests pass.","Claims could outrun deletion and retention controls.","Gate importer copy on privacy test suite and purge command.","open","claim-governance-audit-2026-05-12.md; trace-import-privacy-policy-2026-05-13.md"
