ref,source_url,source_type,source_signal,kolm_implication,priority
apple-core-ml-2026-05-13,https://developer.apple.com/machine-learning/core-ml/,official_docs,"Apple positions Core ML around on-device performance, model conversion, compression, Xcode reports, and Apple silicon execution.","Treat Core ML as an iOS target backend and benchmark native-vs-kolm claims.",P0
apple-foundation-models-2026-05-13,https://developer.apple.com/documentation/FoundationModels,official_docs,"Apple provides access to an on-device language model for generation, structured output, and tool calling.","Do not claim simple Apple-only text generation is uniquely solved by kolm.",P0
google-litert-2026-05-13,https://ai.google.dev/edge/litert/,official_docs,"LiteRT is a high-performance on-device AI framework with conversion, optimization, hardware acceleration, and multiple platforms.","Make LiteRT a backend target and own the spec/eval/registry layer above it.",P0
google-mediapipe-2026-05-13,https://ai.google.dev/edge/mediapipe/solutions,official_docs,"MediaPipe offers cross-platform task libraries, models, customization, and browser-based evaluation tooling.","Avoid competing on generic ready-made tasks; focus on custom governed business artifacts.",P1
onnx-runtime-mobile-2026-05-13,https://onnxruntime.ai/docs/tutorials/mobile/,official_docs,"ONNX Runtime documents mobile deployment, execution providers, binary size, model size, latency, power, and optimization flow.","Publish the same measurement categories for kolm artifacts.",P0
onnx-runtime-genai-2026-05-13,https://onnxruntime.ai/docs/genai/,official_docs,"ONNX Runtime generate API provides tokenization, pre-processing, search, sampling, KV cache, chat templates, and structured output.","Kolm needs to show why task artifacts and receipts are valuable beyond an inference loop.",P1
executorch-architecture-2026-05-13,https://docs.pytorch.org/executorch/stable/getting-started-architecture,official_docs,"ExecuTorch provides a modular workflow for preparing and executing PyTorch programs on-device with backend customization.","Import PyTorch workflows and treat ExecuTorch as a target, not just a competitor.",P0
llama-cpp-2026-05-13,https://github.com/ggml-org/llama.cpp,official_repo,"llama.cpp emphasizes minimal setup and performance across wide local and cloud hardware with many backends and quantization options.","Offline LLM inference is not enough; kolm should focus on task-specific compiled artifacts.",P1
mlc-webllm-2026-05-13,https://llm.mlc.ai/docs/deploy/webllm.html,official_docs,"WebLLM uses WebGPU for in-browser local acceleration and an OpenAI-compatible API.","Browser support claims require explicit compatibility and memory limits.",P1
eu-ai-act-timeline-2026-05-13,https://ai-act-service-desk.ec.europa.eu/en/ai-act/eu-ai-act-implementation-timeline,official_policy,"The AI Act applies progressively, including 2025 obligations and wider 2026-2027 applicability.","Use dated evidence-map language instead of broad compliance wording.",P0
hhs-hipaa-security-rule-2026-05-13,https://www.hhs.gov/hipaa/for-professionals/security/index.html,official_policy,"HHS frames the Security Rule around safeguards for electronic protected health information.","Regulated healthcare copy needs controls, ownership, and BAA posture.",P0
qualcomm-edge-impulse-2026-05-13,https://www.qualcomm.com/news/releases/2025/03/qualcomm-to-bolster-ai-and-iot-capabilities-with-edge-impulse-ac,official_press,"Qualcomm announced an agreement to acquire Edge Impulse to expand developer enablement and edge AI tooling.","Edge AI tooling consolidation is a why-now signal and a platform/acquisition proof point.",P2
