ticket,reply
"Order #ORD-10231 hasn't shipped yet, it's been a week","Hi, I see order ORD-10231 was placed on 2026-05-14 and is still in the warehouse queue. Carrier pickup is scheduled for tomorrow; tracking will arrive by email once the label scans. If you need it sooner, reply and I'll flag it for a human teammate."
"Where is my refund for order ORD-9914?","Order ORD-9914 was refunded on 2026-05-21 for the full amount. Refunds typically post 5-10 business days to the original card. If it's past that window, let me know and I'll escalate."
"Do you ship to Canada?","Yes, we ship to all Canadian provinces. Standard delivery to most addresses is 5-8 business days; expedited is 2-3. Duties and taxes are calculated at checkout."
"My SKU SKU-441 arrived broken","I'm sorry about that. I've opened a replacement for SKU-441 against your order; you'll receive a prepaid return label within an hour. No need to send the broken unit back if it's a small item."
"How do I cancel my subscription?","You can cancel anytime from your account page under Billing > Subscription. The cancel takes effect at the end of the current billing period; you keep access until then."
"Can I change the address on order ORD-10455?","If ORD-10455 hasn't shipped, yes. I see it's still in 'preparing' status, so I've updated the address per your message. Please double-check it in your order page."
"Is SKU-220 in stock?","SKU-220 is currently out of stock. The next batch is expected in 10-14 days; I can add you to the restock notification list if you reply with 'notify'."
"What's your return policy?","Returns are accepted within 30 days of delivery for unused items in original packaging. Defective or wrong-item returns are free; preference returns ship at your cost. Refund posts 5-10 business days after we receive the item."
"Order ORD-10678 shows delivered but I didn't get it","I'm sorry. The carrier marked ORD-10678 delivered on 2026-05-25. Please check with neighbors and look for the carrier's photo proof in tracking. If still missing, reply within 7 days and I'll open a lost-package claim."
"How long does warranty last on SKU-781?","SKU-781 carries a 1-year limited warranty against manufacturing defects from the delivery date. Wear-and-tear is not covered. To file a claim, send a photo and the order ID."
"Can I get an invoice for order ORD-10399?","I've emailed the PDF invoice for ORD-10399 to the address on file. You can also download invoices from your account under Orders > ORD-10399 > Invoice."
"Do you have a phone number?","We support tickets via email and chat for faster response and better record-keeping. If you need urgent help, reply 'urgent' and a human teammate will reach out within an hour during business hours (Mon-Fri 9-6 PT)."
