question_with_schema,query_and_interpretation
"Schema: orders(id, customer_id, amount, created_at). Question: total revenue last 30 days.","SELECT SUM(amount) AS total_revenue FROM orders WHERE created_at >= CURRENT_DATE - INTERVAL '30 days'; -- Sums the amount column for orders created in the last 30 calendar days."
"Schema: users(id, signup_date, plan). Question: how many users signed up per week in 2026.","SELECT DATE_TRUNC('week', signup_date) AS week, COUNT(*) AS signups FROM users WHERE signup_date >= '2026-01-01' GROUP BY 1 ORDER BY 1; -- Counts signups bucketed by ISO week for 2026."
"Schema: events(id, user_id, type, ts). Question: top 5 most common event types in May 2026.","SELECT type, COUNT(*) AS n FROM events WHERE ts >= '2026-05-01' AND ts < '2026-06-01' GROUP BY type ORDER BY n DESC LIMIT 5; -- Returns the five event types with the highest occurrence count in May 2026."
"Schema: orders(id, customer_id, amount). Question: average order value.","SELECT AVG(amount) AS avg_order_value FROM orders; -- Returns the arithmetic mean of the amount column across all orders."
"Schema: products(id, name, price), order_items(order_id, product_id, qty). Question: top-selling product by units.","SELECT p.name, SUM(oi.qty) AS units_sold FROM order_items oi JOIN products p ON p.id = oi.product_id GROUP BY p.name ORDER BY units_sold DESC LIMIT 1; -- Joins order_items to products and returns the product with the highest summed quantity."
"Schema: subscriptions(user_id, plan, started_at, canceled_at). Question: churn rate this month.","SELECT (COUNT(*) FILTER (WHERE canceled_at >= DATE_TRUNC('month', CURRENT_DATE))::float) / NULLIF(COUNT(*) FILTER (WHERE started_at < DATE_TRUNC('month', CURRENT_DATE)), 0) AS churn_rate FROM subscriptions; -- Divides this-month cancellations by the cohort active at month start; NULLIF avoids divide-by-zero."
"Schema: page_views(url, ts). Question: which page got the most views yesterday.","SELECT url, COUNT(*) AS views FROM page_views WHERE ts >= CURRENT_DATE - INTERVAL '1 day' AND ts < CURRENT_DATE GROUP BY url ORDER BY views DESC LIMIT 1; -- Counts views per URL for yesterday and returns the highest-traffic page."
"Schema: orders(customer_id, amount). Question: which customer spent the most lifetime.","SELECT customer_id, SUM(amount) AS lifetime_value FROM orders GROUP BY customer_id ORDER BY lifetime_value DESC LIMIT 1; -- Aggregates per-customer order totals; returns the highest LTV."
"Schema: errors(service, level, ts). Question: how many critical errors did service 'gateway' have today.","SELECT COUNT(*) FROM errors WHERE service = 'gateway' AND level = 'critical' AND ts >= CURRENT_DATE AND ts < CURRENT_DATE + INTERVAL '1 day'; -- Counts critical-level errors in the gateway service for today's calendar day."
"Schema: sessions(user_id, duration_s). Question: average session length per user.","SELECT user_id, AVG(duration_s) AS avg_duration_s FROM sessions GROUP BY user_id; -- Returns per-user average session duration in seconds."
"Schema: only orders(id, amount). Question: which customers have spent the most.","-- Cannot answer with the provided schema: orders has no customer_id column. Add customer_id to the orders schema or share a join key to compute per-customer totals."
"Schema: leads(source, status, created_at). Question: conversion rate by source last quarter.","SELECT source, AVG(CASE WHEN status = 'converted' THEN 1.0 ELSE 0 END) AS conversion_rate FROM leads WHERE created_at >= DATE_TRUNC('quarter', CURRENT_DATE - INTERVAL '3 months') AND created_at < DATE_TRUNC('quarter', CURRENT_DATE) GROUP BY source; -- For each source, computes share of leads in last quarter whose status is converted."
