lead_text,qualification_json
"VP Eng at 50-person SaaS, signed up for trial, needs PoC by end of month, budget approved.","{""budget"":9,""authority"":9,""need"":8,""timing"":9,""route"":""ae"",""rationale"":""VP Eng with approved budget and an end-of-month PoC deadline indicates high BANT across all axes.""}"
"Hi, just exploring, no specific use case yet, interested in learning more.","{""budget"":2,""authority"":3,""need"":3,""timing"":2,""route"":""nurture"",""rationale"":""Exploring stage with no use case named; nurture sequence appropriate.""}"
"Director of Data at Fortune-500 retail, evaluating 3 vendors, contract in 6 months, $500k budget.","{""budget"":10,""authority"":8,""need"":8,""timing"":7,""route"":""ae"",""rationale"":""Six-month evaluation with named $500k budget at director level; assign AE for vendor evaluation cycle.""}"
"Student working on a class project, can't pay, need a free tier.","{""budget"":1,""authority"":2,""need"":4,""timing"":4,""route"":""nurture"",""rationale"":""Student class project with no budget or buying authority; route to nurture and free-tier education.""}"
"CTO of a 200-employee fintech, current vendor's contract ends in Q3, looking to switch.","{""budget"":8,""authority"":9,""need"":7,""timing"":7,""route"":""ae"",""rationale"":""CTO authority with a Q3 contract-end timing event makes this a near-term replace cycle.""}"
"PM at a 10-person startup, can pay $50/month max, need basic features.","{""budget"":3,""authority"":6,""need"":6,""timing"":5,""route"":""sdr"",""rationale"":""Small budget but PM-level authority and a defined need; SDR can scope a self-serve path.""}"
"Analyst at a mid-market bank, exploring AI vendors for next year's plan.","{""budget"":5,""authority"":4,""need"":5,""timing"":3,""route"":""sdr"",""rationale"":""Analyst exploring for next-year plan; SDR can map stakeholders and add to long-cycle queue.""}"
"Engineering Manager, 20-person AI startup, building prototype, need API access immediately.","{""budget"":6,""authority"":7,""need"":8,""timing"":9,""route"":""sdr"",""rationale"":""Immediate need with manager-level authority; SDR can grant trial and qualify upward to AE if PoC succeeds.""}"
"CEO of a 5-person agency, want to use AI for client projects, $200/mo budget.","{""budget"":4,""authority"":10,""need"":6,""timing"":6,""route"":""sdr"",""rationale"":""CEO authority with modest budget; SDR fits agency self-serve motion.""}"
"Procurement, evaluating for a 500-person org, RFP closes in 2 weeks, $300k budget.","{""budget"":10,""authority"":7,""need"":7,""timing"":9,""route"":""ae"",""rationale"":""Active RFP with two-week close and $300k budget requires AE-led response.""}"
"Anonymous form fill, no company, no role, no email validation.","{""budget"":1,""authority"":1,""need"":2,""timing"":2,""route"":""nurture"",""rationale"":""Anonymous lead with no qualifying data; nurture only.""}"
"Senior Engineer at a Series-B startup, has internal champion already, ready to buy.","{""budget"":7,""authority"":6,""need"":8,""timing"":9,""route"":""ae"",""rationale"":""Internal champion plus ready-to-buy intent at Series-B funded stage warrants AE engagement.""}"
